sentence,annotation
Exploring the Denali can be a thrilling experience .,O O B-MOUNTAIN O O O O O O
The surrounding area of Mount Pelée is a haven for nature lovers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Ancient civilizations left their mark on the slopes of Manāslu I .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The beauty of Mount al Durūz is matched by the challenges it presents .,O O O O O O O O O O O O O O
Expeditions to Mount Nebo are often halted due to adverse weather .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The descent from Toluca is as challenging as the ascent .,O O O B-MOUNTAIN O O O O O O O
Durmitor is a natural wonder that captures the imagination of all who visit .,B-MOUNTAIN O O O O O O O O O O O O O
Mount Bruce is known for its sharp jagged peaks .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The rugged trails on Mount Corcovado attract experienced hikers from around the world .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The beauty of Mount Corcovado has made it a popular filming location .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Mount Kōya has long been a place of pilgrimage for travelers and explorers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
The ecosystem around Paricutín is fragile and needs to be preserved .,O O O B-MOUNTAIN O O O O O O O O
For centuries Baldy Mountain has attracted explorers from around the world .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Krakatoa stands as a symbol of resilience and adventure .,B-MOUNTAIN O O O O O O O O O
The rocks on Brandon Mountain are treacherous and climbers must tread carefully .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Many believe that Kanchenjunga holds hidden treasures within its caves .,O O O B-MOUNTAIN O O O O O O O
Reaching the top of Mount Shasta is an achievement many aspire to .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Reaching the top of Ben Nevis is an achievement many aspire to .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Mount Kōya has unique geological features not found anywhere else .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Legends say that spirits protect the summit of Lugnaquillia Mountain .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Surviving the night on Mayon Volcano requires advanced camping skills .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Ossa is part of a national park that protects its unique environment .,B-MOUNTAIN O O O O O O O O O O O O
Stories of Cho Oyu have been passed down through generations .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Mauna Kea offers breathtaking views of the surrounding landscapes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Few places on Earth are as captivating as the Tirich Mir .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Mount Tupungato holds cultural significance to indigenous communities nearby .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The steep cliffs of Mount Pelée attract the most daring adventurers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Many have tried and failed to reach the top of Mount Damāvand .,O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
For centuries Mount Toba has attracted explorers from around the world .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Mount Bogong presents a unique challenge to those who attempt to conquer it .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
The dense forests near Dunsinane add to its allure .,O O O O B-MOUNTAIN O O O O O
Local legends claim that Öræfajökull has healing powers .,O O O O B-MOUNTAIN O O O O
Mont Blanc is often referred to as the crown jewel of the region .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Stories of Mount Wutai have been passed down through generations .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The snow capped peaks of Mount Kazbek are visible from miles away .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
During certain times of the year Mount Tahan is covered in beautiful wildflowers .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The wildlife near Mount Hymettus includes rare species like mountain goats and eagles .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Exploring the Triglav can be a thrilling experience .,O O B-MOUNTAIN O O O O O O
Few places on Earth are as captivating as the Mount Ontake .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The rivers near Mount Nebo provide fresh water to local communities .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The flora and fauna on Mount Gongga are unique to its ecosystem .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The wildlife near Brandberg includes rare species like mountain goats and eagles .,O O O B-MOUNTAIN O O O O O O O O O
The path up Snowdon is marked with stunning rock formations .,O O O B-MOUNTAIN O O O O O O O
The summit of Mount al Durūz can be reached only by the most experienced climbers .,O O O O O O O O O O O O O O O O
Surviving the night on Ben Nevis requires advanced camping skills .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Local communities revere Chimborazo as a sacred mountain .,O O O B-MOUNTAIN O O O O O
The legends of Durmitor add to its mystique and allure .,O O O B-MOUNTAIN O O O O O O O
The ecosystem around Anai Peak is home to various rare species .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Travelers often share stories of their journey to Mount Inthanon .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The journey to Mauna Kea requires careful planning and preparation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Teide Peak is home to ancient rock formations that date back millennia .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Legends say that Dufourspitze is protected by ancient spirits .,O O O B-MOUNTAIN O O O O O O
Exploring the base of Iztaccíhuatl is an adventure in itself .,O O O O B-MOUNTAIN O O O O O O
Many believe that Mount Bia holds hidden treasures within its caves .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Croagh Patrick is part of a national park that protects its unique environment .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Ol Doinyo Lengai is often referred to as the crown jewel of the region .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
The icy winds on Laki can be relentless at higher altitudes .,O O O O B-MOUNTAIN O O O O O O O
Ancient civilizations left their mark on the slopes of Nevado Illimani .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Stories of Mount Mikeno have been passed down through generations .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Nanga Parbat offers breathtaking views of the surrounding landscapes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The mist that surrounds Mauna Loa in the mornings adds to its mystique .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The beauty of Baldy Mountain is matched by the challenges it presents .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The history of Hekla is filled with stories of exploration and adventure .,O O O B-MOUNTAIN O O O O O O O O O
The climate on Hekla can change rapidly posing risks to climbers .,O O O B-MOUNTAIN O O O O O O O O
The path to Nevado Illimani is filled with both beauty and danger .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The dense forests near Mount Bruce add to its allure .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
The beauty of Mount Parnassus has made it a popular filming location .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
In winter Mount Agou becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
In winter Cho Oyu becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Mount Ontake has several trails that vary in difficulty attracting all types of adventurers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
Exploring the Mount Shasta can be a thrilling experience .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Hikers near Mount Gongga are advised to be cautious of sudden weather changes .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
Guadalupe Peak has a unique landscape compared to other mountains .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The climate on Cho Oyu can change rapidly posing risks to climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Triglav has several trails that vary in difficulty attracting all types of adventurers .,B-MOUNTAIN O O O O O O O O O O O O O
Lhotse is a major landmark and a point of pride for the local community .,B-MOUNTAIN O O O O O O O O O O O O O O
Bolívar Peak is a popular destination for tourists and hikers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Mount Babia has inspired countless works of art and literature .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The altitude of Mount Parnis challenges even the fittest athletes .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Few places on Earth are as captivating as the Mount Mikeno .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The sheer size of Mount Koussi is awe inspiring to anyone who sees it .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
During certain times of the year Mount Bartle Frere is covered in beautiful wildflowers .,O O O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Tahan s slopes are covered with dense forests and flowing streams .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Popa Hill is frequently covered in snow even during the summer months .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Mount Ararat is known for its unpredictable weather and stunning views .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
Mount Huascarán is part of a national park that protects its unique environment .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Reaching the peak of Dom is an unforgettable experience .,O O O O B-MOUNTAIN O O O O O
The rivers near Mount Athos provide fresh water to local communities .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The journey to the peak of Matterhorn is both difficult and rewarding .,O O O O O O B-MOUNTAIN O O O O O O
Reaching the top of Mount Logan is an achievement many aspire to .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The steep cliffs of Mount Mikeno attract the most daring adventurers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The climate on Katla can change rapidly posing risks to climbers .,O O O B-MOUNTAIN O O O O O O O O
The flora and fauna on Nanga Parbat are unique to its ecosystem .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Laki offers breathtaking views of the surrounding landscapes .,B-MOUNTAIN O O O O O O O O
Triglav has inspired countless works of art and literature .,B-MOUNTAIN O O O O O O O O O
During storms Mount Huila becomes an even more formidable place .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The history of Lenin Peak is filled with stories of exploration and adventure .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Mount Katahdin is a UNESCO World Heritage Site due to its natural beauty .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Climbing Soufrière requires a lot of training and preparation .,O B-MOUNTAIN O O O O O O O O
Mount Monadnock is part of a national park that protects its unique environment .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Monte Rosa has unique geological features not found anywhere else .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
During storms Mount Chélia becomes an even more formidable place .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The descent from Mount Shasta is as challenging as the ascent .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Many legends are told about the mysteries of Makālu .,O O O O O O O O B-MOUNTAIN O
The climate on Mount Kazbek can change rapidly posing risks to climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Exploring the Mount Karisimbi can be a thrilling experience .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The rocks on Mount Pelion are treacherous and climbers must tread carefully .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The wildlife near Mount Nyamulagira includes rare species like mountain goats and eagles .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The rocks on Mount Wutai are treacherous and climbers must tread carefully .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Qurnat al Sawdāʾ is a major landmark and a point of pride for the local community .,O O O O O O O O O O O O O O O O O
The view from Kanchenjunga s summit is worth the difficult journey .,O O O B-MOUNTAIN O O O O O O O O
The clouds often envelop Lassen Peak in a blanket of mist .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The descent from Mihintale is as challenging as the ascent .,O O O B-MOUNTAIN O O O O O O O
In winter Mount Tambora becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The harsh conditions on Mount Nyamulagira are not for the faint hearted .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The legends of Denali add to its mystique and allure .,O O O B-MOUNTAIN O O O O O O O
Legends say that Bihor Massif is protected by ancient spirits .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Many expeditions have been launched to explore the depths of Teide Peak .,O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The rocks on Mount Pinatubo are treacherous and climbers must tread carefully .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The peak of Mount Frissell is one of the most beautiful places on Earth .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
Exploring the base of Mount Logan is an adventure in itself .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The journey to Mount Kenya requires careful planning and preparation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The slopes of Ben Wyvis are covered with diverse vegetation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Local legends claim that Dunsinane has healing powers .,O O O O B-MOUNTAIN O O O O
Tourists flock to Mount Shasta for its serene and majestic beauty .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The peak of Sugar Loaf is one of the most beautiful places on Earth .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
In winter Mount Parnis becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The mountain range that includes Anai Peak is one of the longest in the world .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Mount Rogers is famous for its challenging climbing routes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Mount Fairweather is a UNESCO World Heritage Site due to its natural beauty .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Mount Fuji is famous for its challenging climbing routes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Exploring the base of Mount Tabor is an adventure in itself .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Karl Marx Peak s slopes are covered with dense forests and flowing streams .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The path up Anai Peak is marked with stunning rock formations .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The landscape around Xixabangma changes dramatically with the seasons .,O O O B-MOUNTAIN O O O O O O
On clear days the view from Gran Paradiso stretches for miles .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O
Reaching the top of Mount Apo is an achievement many aspire to .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
On clear days the view from Toluca stretches for miles .,O O O O O O B-MOUNTAIN O O O O
Photographers travel to Mount Bia to capture its breathtaking views .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Reaching Mount Olympus requires both mental and physical strength .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The highest peak in the Mount Tahan is well known among mountaineers .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The peak of Dufourspitze is one of the most beautiful places on Earth .,O O O B-MOUNTAIN O O O O O O O O O O
Ol Doinyo Lengai stands as a symbol of resilience and adventure .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Slieve Croob offers breathtaking views of the surrounding landscapes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The wildlife near Mayon Volcano includes rare species like mountain goats and eagles .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Reaching the top of Brocken is an achievement many aspire to .,O O O O B-MOUNTAIN O O O O O O O
The legends of Rodna Massif add to its mystique and allure .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Legends say that Khan Tängiri Peak is protected by ancient spirits .,O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O
Anai Peak is a part of a chain of mountains that spans multiple countries .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
Every step toward the summit of Mount Agou tests one s willpower .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
People come from around the globe to admire the grandeur of Mount Koussi .,O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The slopes of Nanga Parbat are covered with diverse vegetation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Many believe that Mount Narodnaya holds hidden treasures within its caves .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The clouds often envelop Madera Volcano in a blanket of mist .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The surrounding area of Maipo Volcano is a haven for nature lovers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Bolívar Peak offers breathtaking views of the surrounding landscapes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Big Rock Candy Mountain is often referred to as the crown jewel of the region .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Mount Roman Kosh is known for its sharp jagged peaks .,O O O O O O O O O O O
Mount Ruiz is a popular destination for tourists and hikers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Kilauea has long been a place of pilgrimage for travelers and explorers .,B-MOUNTAIN O O O O O O O O O O O O
Hiking to Cradle Mountain s summit can take several days to accomplish .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
In winter Lochnagar becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN O O O O O O O O O
The mountain range that includes Snowdon is one of the longest in the world .,O O O O O B-MOUNTAIN O O O O O O O O O
Legends say that spirits protect the summit of Mount Rainier .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The legend of Mount Mikeno tells of lost travelers and hidden caves .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The view from Mount Nyiragongo s summit is worth the difficult journey .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Exploring the base of Mount Aragats is an adventure in itself .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Climbing Carrantuohill requires a lot of training and preparation .,O B-MOUNTAIN O O O O O O O O
Cradle Mountain is a natural wonder that captures the imagination of all who visit .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
The mountain range that includes Mount Narodnaya is one of the longest in the world .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Reaching Muhavura requires both mental and physical strength .,O B-MOUNTAIN O O O O O O O
Legends say that spirits protect the summit of Bandeira Peak .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The Mount Aspiring range stretches over a vast area .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Mount Logan offers breathtaking views of the surrounding landscapes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Climbing Mount Bamba requires a lot of training and preparation .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Photographers travel to Giant s Castle to capture its breathtaking views .,O O O O O O O O O O O O
Triglav has long been a place of pilgrimage for travelers and explorers .,B-MOUNTAIN O O O O O O O O O O O O
Mount Bruce is a popular destination for tourists and hikers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The ecosystem around Mount Tambora is fragile and needs to be preserved .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Every step toward the summit of Mount Elbrus tests one s willpower .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Many legends are told about the mysteries of Mount Bia .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Many expeditions have been launched to explore the depths of Finsteraarhorn .,O O O O O O O O O O B-MOUNTAIN O
The ecosystem around Mount Agou is fragile and needs to be preserved .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The rugged trails on Mount Elbrus attract experienced hikers from around the world .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Surviving the night on Mont Blanc requires advanced camping skills .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Croagh Patrick is a UNESCO World Heritage Site due to its natural beauty .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
The rugged terrain of Tajumulco Volcano demands skill and endurance from climbers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Travelers often share stories of their journey to Monte Rosa .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Mount Inthanon has been the site of many scientific studies due to its unique environment .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O
The harsh conditions on Kings Peak are not for the faint hearted .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
In winter Katla becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN O O O O O O O O O
The Mount Pelée range stretches over a vast area .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Hikers near Matterhorn are advised to be cautious of sudden weather changes .,O O B-MOUNTAIN O O O O O O O O O O
During certain times of the year Ben Cruachan is covered in beautiful wildflowers .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Hekla is surrounded by valleys and rivers creating a picturesque scene .,B-MOUNTAIN O O O O O O O O O O O
The scenic views around Mount al Durūz attract travelers from far and wide .,O O O O O O O O O O O O O O
Every step toward the summit of Mount Narodnaya tests one s willpower .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
The ecosystem around Kings Peak is fragile and needs to be preserved .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The snow capped peaks of Lhotse are visible from miles away .,O O O O O B-MOUNTAIN O O O O O O
The summit of Humphreys Peak can be reached only by the most experienced climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
Legends say that Granite Peak is protected by ancient spirits .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The dense forests near Big Rock Candy Mountain add to its allure .,O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O
The journey to the peak of Bihor Massif is both difficult and rewarding .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The rivers near Xixabangma provide fresh water to local communities .,O O O B-MOUNTAIN O O O O O O O
Locals often tell stories of hidden caves within Mount Parnis .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Mount Shasta has a unique landscape compared to other mountains .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The ecosystem around Mount Tahan is fragile and needs to be preserved .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The altitude of Toluca challenges even the fittest athletes .,O O O B-MOUNTAIN O O O O O O
The summit of Makālu can be reached only by the most experienced climbers .,O O O B-MOUNTAIN O O O O O O O O O O
On clear days the view from Mount Chorolque stretches for miles .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O
The dense forests near Mount Rainier add to its allure .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
The clouds often envelop Mount Sinai in a blanket of mist .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The slopes of Tirich Mir are covered with diverse vegetation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The climate on Glitter Mountain can change rapidly posing risks to climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Legends say that spirits protect the summit of Mount Kazbek .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
During certain times of the year Mount Ararat is covered in beautiful wildflowers .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Some say the spirits of past climbers still roam Mount Everest .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Ol Doinyo Lengai is home to ancient rock formations that date back millennia .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Tourists flock to Botev for its serene and majestic beauty .,O O O B-MOUNTAIN O O O O O O O
The path to Izalco Volcano is filled with both beauty and danger .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
For centuries Mount Olympus has attracted explorers from around the world .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The descent from Mount Aso is as challenging as the ascent .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Haleakala has been a source of inspiration for poets and writers .,B-MOUNTAIN O O O O O O O O O O O
The beauty of Thabana Ntlenyana is matched by the challenges it presents .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The scenic views around Mount Apo attract travelers from far and wide .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The path to Moldoveanu is filled with both beauty and danger .,O O O B-MOUNTAIN O O O O O O O O
Hiking to Mount Sinai s summit can take several days to accomplish .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
During the winter months Triglav becomes almost inaccessible .,O O O O B-MOUNTAIN O O O O
The paths leading up to Ossa are winding and steep .,O O O O O B-MOUNTAIN O O O O O
In winter Grossglockner becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN O O O O O O O O O
The river that flows from Mount Aso provides life to the valleys below .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Every year thousands of adventurers visit Klyuchevskaya Volcano .,O O O O O O B-MOUNTAIN I-MOUNTAIN O
Stories of Mount Babia have been passed down through generations .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The flora and fauna on Bucegi Massif are unique to its ecosystem .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Huascarán is one of the most beautiful mountains in the world .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Khan Tängiri Peak is often referred to as the crown jewel of the region .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
The summit of Mount Nyamulagira can be reached only by the most experienced climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
Photographers travel to Baldy Mountain to capture its breathtaking views .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Toba is surrounded by valleys and rivers creating a picturesque scene .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Vesuvius is a part of a chain of mountains that spans multiple countries .,B-MOUNTAIN O O O O O O O O O O O O O
Every year thousands of adventurers visit Gerlach Peak .,O O O O O O B-MOUNTAIN I-MOUNTAIN O
In winter Mount Cameroon becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The highest peak in the Lugnaquillia Mountain is well known among mountaineers .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Locals often tell stories of hidden caves within Revolution Peak .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Mount Saint Elias has been the site of many scientific studies due to its unique environment .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O
The journey to the peak of Klyuchevskaya Volcano is both difficult and rewarding .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Every step toward the summit of Kilauea tests one s willpower .,O O O O O O B-MOUNTAIN O O O O O
During storms Mount al Durūz becomes an even more formidable place .,O O O O O O O O O O O O
People come from afar to witness the beauty of Makālu .,O O O O O O O O O B-MOUNTAIN O
The descent from Mount Elbrus is as challenging as the ascent .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Santa Ana Volcano holds cultural significance to indigenous communities nearby .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O
Some say the spirits of past climbers still roam Mount Tambora .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Many believe that Gerlach Peak holds hidden treasures within its caves .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
During certain times of the year Muhavura is covered in beautiful wildflowers .,O O O O O O B-MOUNTAIN O O O O O O
Croagh Patrick is a natural wonder that captures the imagination of all who visit .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
Reaching the top of Mount Toba is an achievement many aspire to .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
